instance,expression,feasible,objective,cost,distance,late_penalty,spoil_penalty,late_customers,spoil_customers,num_routes,runtime_sec,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
A-n48-k7,est_spoil + travel_to_c,True,9351.0,9351.0,1534.0,0.0,7817.0,0,7,7,0.00676727294921875,1,,,,,
A-n39-k5,est_spoil + travel_to_c,True,54367.0,54367.0,1249.0,25.6,53092.4,1,11,5,0.00467371940612793,1,,,,,
A-n37-k6,est_spoil + travel_to_c,True,23299.0,23299.0,1473.0,0.0,21826.0,0,9,6,0.003509044647216797,1,,,,,
P-n16-k8,est_spoil + travel_to_c,True,497.0,497.0,497.0,0.0,0.0,0,0,8,0.000843048095703125,1,,,,,
A-n37-k5,est_spoil + travel_to_c,True,23128.0,23128.0,1067.0,0.0,22061.0,0,7,5,0.004039287567138672,1,,,,,
P-n70-k10,est_spoil + travel_to_c,True,63490.0,63490.0,1201.0,0.0,62289.0,0,10,10,0.01592731475830078,1,,,,,
E-n76-k8,est_spoil + travel_to_c,True,79435.6,79435.6,1127.0,0.0,78308.6,0,12,8,0.018882274627685547,1,,,,,
A-n55-k9,est_spoil + travel_to_c,True,24426.0,24426.0,1490.0,0.0,22936.0,0,7,9,0.009333610534667969,1,,,,,
A-n54-k7,est_spoil + travel_to_c,True,43646.8,43646.8,1610.0,668.0,41368.8,3,19,7,0.012059926986694336,1,,,,,
A-n62-k8,est_spoil + travel_to_c,True,21919.0,21919.0,1812.0,0.0,20107.0,0,10,8,0.011780261993408203,1,,,,,
B-n52-k7,est_spoil + travel_to_c,True,15985.0,15985.0,1297.0,0.0,14688.0,0,5,7,0.008374691009521484,1,,,,,
B-n56-k7,est_spoil + travel_to_c,True,29836.6,29836.6,1353.0,0.0,28483.6,0,11,7,0.009824752807617188,1,,,,,
P-n55-k7,est_spoil + travel_to_c,True,27690.0,27690.0,811.0,0.0,26879.0,0,8,7,0.010802030563354492,1,,,,,
P-n65-k10,est_spoil + travel_to_c,True,21467.0,21467.0,1055.0,0.0,20412.0,0,5,10,0.013886690139770508,1,,,,,
B-n63-k10,est_spoil + travel_to_c,True,10748.2,10748.2,2137.0,0.0,8611.2,0,9,10,0.011496305465698242,1,,,,,
E-n101-k14,est_spoil + travel_to_c,True,55621.0,55621.0,1687.0,0.0,53934.0,0,12,14,0.03011178970336914,1,,,,,
E-n101-k8,est_spoil + travel_to_c,True,95160.20000000001,95160.20000000001,1439.0,1917.6000000000001,91803.6,6,26,8,0.03509092330932617,1,,,,,
F-n135-k7,est_spoil + travel_to_c,True,10262883.2,10262883.2,2315.0,972981.6,9287586.6,67,103,7,0.06271624565124512,1,,,,,
M-n101-k10,est_spoil + travel_to_c,True,100715.0,100715.0,1385.0,0.0,99330.0,0,13,10,0.036913156509399414,1,,,,,
M-n121-k7,est_spoil + travel_to_c,True,129046.6,129046.6,1822.0,653.5999999999999,126571.0,2,49,7,0.05127453804016113,1,,,,,
M-n151-k12,est_spoil + travel_to_c,True,154306.0,154306.0,1882.0,0.0,152424.0,0,34,12,0.07556486129760742,1,,,,,
M-n200-k16,est_spoil + travel_to_c,True,162812.4,162812.4,2093.0,0.0,160719.4,0,35,17,0.1325829029083252,1,,,,,
